cluster,Factor1,Factor2,Factor3,Factor4
1,0.5630463606111895,0.8883458899211002,1.2433469319220423,1.1409422671918967
2,0.4804017973995455,0.6635267285681786,0.6178180375888039,0.07763553146598011
3,-1.9382250461592232,-1.0663006724240058,-0.7397009776683893,-0.3918121574474251
4,-0.4104018585352948,-0.9403263373567178,-1.0388161423408047,-0.4854171043312161
5,0.14760029820288748,-0.059036630350021976,-0.1409100110068559,-0.7383011947304438
6,-0.5164738065428165,-0.6453631876298707,0.6222675601664567,0.5068663656974816
7,0.4305665597279061,0.38567004953461337,-0.730537578432951,0.5545094593543712
