ID_OfGrPart,Factor1,Factor2,Factor3,Factor4
1070101-308,0.580542454429146,-1.621240713128184,-1.4585693439999972,0.28875391396642336
1070101-316,0.3690776515517646,0.330085356135341,-0.5169528089748633,0.8310235920645922
1070102-296,-1.5429498074651389,-0.31971360390445264,0.7866650856048185,1.8977947437639662
1070102-301,0.86914812345685,1.1962426107609723,1.4995217130635334,1.4649365112755424
1070102-311,-0.34265975548763283,-1.269733345474364,-0.24263608893234342,0.679777505885801
1070102-312,0.2056074802878809,0.2886500616366212,-1.3640894744115537,-0.3538094532569407
1070102-318,-0.2893043261534079,0.9037317308485595,-1.5260819305796596,-0.5726482529054325
1070102-325,-1.7890200134411365,-1.6643889002976682,-1.1755709475611904,0.23272889949565667
1070102-349,-0.2068732486241166,1.169417563378465,1.4158369496466063,-0.7750604923205977
1070103-306,-0.8658774110195122,-1.765704404180474,0.649395347617275,-1.6683730979836342
1070103-319,-0.5618969509868567,-1.1718216084491508,-1.595273265851149,0.7387290071514389
1070103-333,-0.26879544677276757,-0.3343830864474488,0.12429772424225453,0.11637316963576351
1070103-338,0.28104223919295396,-2.286817060890315,0.2299632438271886,-0.691713443352099
1070103-339,0.6860788569962801,-1.639478696601813,-0.3709394819131878,-1.236292589021954
1070105-315,-0.7861964093256999,-1.087762125991882,1.045325798167692,0.4749478126545176
1070105-317,-1.5792302360908095,-0.49615769003745264,0.3338272820031654,-1.9530998621437643
1070105-321,-0.24287675625420801,0.4911605718288913,1.2938814795210758,1.63948120483227
1070105-340,0.4907077039059301,0.5197405230122922,-0.2815722973135981,0.6494310691400687
1070105-342,-3.3914899192807257,-2.7591241404896656,-0.5768460509026089,-0.8491774768902299
1070106-294,1.2848099210149044,0.5016584376888515,-0.2826040513500124,0.09585092853874881
1070106-303,1.0171873677638987,0.5721884441620899,-0.7984517362970557,0.33597649173728056
1070106-310,-0.027646329535427436,0.4717149988023013,0.04808475149269123,-0.35022736879307353
1070106-322,-1.5000099154023077,-0.5382419375891364,-0.21337814285430629,0.7968482062456227
1070107-307,0.3713584525398124,0.5716693337932938,0.6096964891325971,1.4112768749388296
1070107-313,-0.26290345723161695,-0.09124517422587458,-1.3028246990628785,0.03695387513446035
1070107-314,0.7273896486634358,0.06887254621197827,-0.4100196471434612,1.3094069836113238
1070107-335,-0.5285081267818191,-0.3650564814102191,-0.4532197535859372,-0.11868793132093684
1070107-341,-0.6130985698883367,0.8604419407696688,-0.7708417461379957,0.020921383053935566
1070109-289,1.1595066927321946,0.6939383715970284,0.3166774202998412,-0.5337386362525333
1070109-291,0.23806312286383832,-0.5200228651447832,-0.7506117999157835,1.2788803825347523
1070109-293,0.4312578903591203,0.9453512517067633,-1.0788367378519255,-0.21398074091866315
1070109-295,1.2456449332872868,-0.10786948184701292,-0.20657549768619055,-2.4744031052987356
1070109-334,1.0407726836266953,0.4167042985556935,-1.2008937001842264,-0.2400686700474427
1070109-337,0.1641428639386853,0.30132787136999545,-0.35241856204596095,-0.4164037575858562
1070109-343,0.666063207189288,-0.36134867350820943,-0.198035213275594,0.2646879875463829
1070110-323,0.3856618654247773,-0.20505087626169402,-0.4892250324700847,-0.8324915297925622
1070110-324,0.6847198780435789,1.1124374930922856,-1.0932443497515127,0.9543274013741739
1070110-347,-0.461567312326242,0.3798371745709191,-0.7490961678130745,-0.5300024676874966
1070111-309,-0.4110225006517303,1.2591525928861431,0.37032120932611684,0.04286060998363246
1070111-350,-0.3523825493910936,0.8944232632872791,1.4821728708046995,0.13070511034546034
1070112-292,-1.578893188355561,-0.3863990420791301,-0.3388403952295345,-1.0707098492912022
1070113-290,0.9321927886746636,0.837352565523395,-0.831826059346454,0.47252849142619785
1070113-304,0.22606423920402002,1.080630781411056,-0.24791019404266323,0.2861190645545885
1070113-327,1.185319720533014,0.9066422113306589,0.4244072711478262,0.18597774833245792
1070113-329,-0.4494882161672644,0.04853952355402257,0.5383298124199403,0.12048223654299423
1070113-332,0.5828193628555688,0.14365068913814016,-1.1860479357843685,0.5037530512638564
1070113-348,-2.6464142725568336,1.1961150713275859,0.839119218079215,0.2116200320398394
1070114-297,0.207331564529512,-1.4812213190483272,-1.080783409684332,-1.8457943943003852
1070114-298,-0.2666695409310266,-0.4874764860122688,-0.8645353786997169,0.3719798012702372
1070114-320,1.0580184916670976,1.1508848418601334,-0.20682039642127092,1.3646255635213755
1070114-330,0.2949500145030779,-0.4851768464972223,-1.2080198887790552,-0.6729696788314681
1070114-336,1.0441514592092607,0.3996248433905275,1.0000399617341098,-0.333942557787098
1070114-344,-1.1001785683479026,-0.3456258032701976,-1.3769098092686383,-0.4213561266797765
1070114-345,0.5205319569529745,0.10539135398874354,-1.231827958250192,2.3208346886640445
1070115-299,-0.22014010664957334,-1.0393986876295584,-1.316698780004799,-0.3212275105421746
1070115-305,-1.4364429294269727,-2.630672442886291,-1.4336382326801484,-0.3908026312236526
1070115-326,0.6533940266115396,-0.28059241251731626,-1.3025133376311513,0.867308012624269
1070115-328,0.4130040315858305,-1.2202787914029392,-0.5494885432139667,-1.9390534184037338
1070116-300,-0.027421425306941964,-0.7268306876146641,-0.4808679535457148,-0.7867874328754505
1070116-302,0.03610394617305071,0.03805925031737828,-0.2561923022223871,-1.1682533752926305
1070117-331,-0.2089206768250223,-1.6866375176201542,-1.4802806371572133,1.9282814029487383
1070117-346,-2.0540670905880662,-0.3933057549074409,-1.864694223843667,0.7863764967276284
1080101-229,-1.1101295388507906,0.6944959094128947,0.12739842698699158,0.23734129197799725
1080101-230,0.03377598113451965,0.7458202413625498,0.8423762003975285,0.37597499503765824
1080101-255,-0.04476121781497722,0.7773651748137672,0.8844142763248563,-0.13562347642159395
1080101-268,1.0066243921301097,1.0466636693993636,0.9584224748818819,0.09905899112953875
1080102-246,-0.590529845514689,0.4760294887103672,-0.5507776008337296,-0.0755402265705286
1080102-250,0.46622340288580827,0.3204202322844285,1.3257379148333528,0.45940865513582924
1080102-259,0.20964406188843127,0.4015900569568098,0.07031457163939075,0.15801968191293558
1080102-278,0.549731718652971,-0.21166382450550641,-0.48040909936029974,-1.9618384505799547
